review_id,platform,product_name,rating,review_text,review_length,verified_purchase,duplicate_phrase_score,reviewer_history,review_post_gap
LV_0001,Amazon,Levi's Men's Cotton T-Shirt,4,Good quality cotton t-shirt for daily wear.,7,1,0.27,158,27
LV_0002,Flipkart,Levi's Men's Cotton T-Shirt,5,Good quality cotton t-shirt for daily wear.,7,1,0.18,93,36
LV_0003,Flipkart,Levi's Men's Cotton T-Shirt,3,Decent t-shirt for casual outings.,5,1,0.02,69,15
LV_0004,Flipkart,Levi's Men's Cotton T-Shirt,5,Original Levi's product with great comfort and durability.,8,1,0.06,103,20
LV_0005,Myntra,Levi's Men's Cotton T-Shirt,3,The t-shirt material is comfortable and fits well.,8,1,0.13,97,18
LV_0006,Amazon,Levi's Men's Cotton T-Shirt,4,Comfortable for regular use.,4,1,0.12,117,19
LV_0007,Amazon,Levi's Men's Cotton T-Shirt,5,Decent t-shirt for casual outings.,5,1,0,138,18
LV_0008,Flipkart,Levi's Men's Cotton T-Shirt,4,The t-shirt material is comfortable and fits well.,8,1,0.11,112,5
LV_0009,Flipkart,Levi's Men's Cotton T-Shirt,3,The stitching and material quality are impressive for daily wear.,10,1,0.05,36,53
LV_0010,Flipkart,Levi's Men's Cotton T-Shirt,3,Comfortable for regular use.,4,1,0.27,165,35
LV_0011,Amazon,Levi's Men's Cotton T-Shirt,5,Original Levi's product with great comfort and durability.,8,1,0.26,66,49
LV_0012,Flipkart,Levi's Men's Cotton T-Shirt,5,Excellent cotton t-shirt from Levi's with premium fabric and perfect fit.,11,1,0.01,108,39
LV_0013,Flipkart,Levi's Men's Cotton T-Shirt,5,Excellent cotton t-shirt from Levi's with premium fabric and perfect fit.,11,1,0.2,176,54
LV_0014,Flipkart,Levi's Men's Cotton T-Shirt,5,"Very satisfied with this purchase, the fabric remains soft after many washes.",12,1,0.21,71,52
LV_0015,Flipkart,Levi's Men's Cotton T-Shirt,4,"Very satisfied with this purchase, the fabric remains soft after many washes.",12,1,0.02,58,24
LV_0016,Flipkart,Levi's Men's Cotton T-Shirt,4,Best tshirt ever buy now,5,0,0.79,3,1
LV_0017,Flipkart,Levi's Men's Cotton T-Shirt,5,Awesome awesome awesome,3,0,0.63,2,1
LV_0018,Myntra,Levi's Men's Cotton T-Shirt,3,Satisfied with the fabric quality.,5,1,0.29,101,20
LV_0019,Flipkart,Levi's Men's Cotton T-Shirt,5,Good quality cotton t-shirt for daily wear.,7,1,0,182,30
LV_0020,Flipkart,Levi's Men's Cotton T-Shirt,4,The t-shirt material is comfortable and fits well.,8,1,0.24,81,55
LV_0021,Flipkart,Levi's Men's Cotton T-Shirt,3,Satisfied with the fabric quality.,5,1,0.18,100,26
LV_0022,Flipkart,Levi's Men's Cotton T-Shirt,4,Awesome awesome awesome,3,0,0.91,4,2
LV_0023,Amazon,Levi's Men's Cotton T-Shirt,4,Good quality cotton t-shirt for daily wear.,7,1,0.04,50,14
LV_0024,Myntra,Levi's Men's Cotton T-Shirt,5,Decent t-shirt for casual outings.,5,1,0.26,71,48
LV_0025,Myntra,Levi's Men's Cotton T-Shirt,5,Satisfied with the fabric quality.,5,1,0.06,137,39
LV_0026,Flipkart,Levi's Men's Cotton T-Shirt,3,Comfortable for regular use.,4,1,0.22,81,32
LV_0027,Flipkart,Levi's Men's Cotton T-Shirt,5,Excellent cotton t-shirt from Levi's with premium fabric and perfect fit.,11,1,0.07,168,26
LV_0028,Amazon,Levi's Men's Cotton T-Shirt,4,The t-shirt material is comfortable and fits well.,8,1,0.08,72,7
LV_0029,Amazon,Levi's Men's Cotton T-Shirt,5,Nice nice nice nice,4,0,0.83,5,0
LV_0030,Flipkart,Levi's Men's Cotton T-Shirt,4,Awesome awesome awesome,3,0,0.81,1,2
LV_0031,Amazon,Levi's Men's Cotton T-Shirt,4,The t-shirt material is comfortable and fits well.,8,1,0.04,126,11
LV_0032,Flipkart,Levi's Men's Cotton T-Shirt,4,Very nice tshirt must buy,5,0,0.83,5,0
LV_0033,Flipkart,Levi's Men's Cotton T-Shirt,5,Good quality cotton t-shirt for daily wear.,7,1,0.22,170,55
LV_0034,Flipkart,Levi's Men's Cotton T-Shirt,5,The t-shirt material is comfortable and fits well.,8,1,0.3,152,50
LV_0035,Flipkart,Levi's Men's Cotton T-Shirt,4,Best tshirt ever buy now,5,0,0.93,3,2
LV_0036,Amazon,Levi's Men's Cotton T-Shirt,5,Excellent cotton t-shirt from Levi's with premium fabric and perfect fit.,11,1,0.03,30,33
LV_0037,Myntra,Levi's Men's Cotton T-Shirt,3,The stitching and material quality are impressive for daily wear.,10,1,0.23,199,8
LV_0038,Flipkart,Levi's Men's Cotton T-Shirt,3,The t-shirt material is comfortable and fits well.,8,1,0.3,96,23
LV_0039,Myntra,Levi's Men's Cotton T-Shirt,5,The stitching and material quality are impressive for daily wear.,10,1,0.2,117,14
LV_0040,Flipkart,Levi's Men's Cotton T-Shirt,3,Good quality cotton t-shirt for daily wear.,7,1,0.09,81,35
LV_0041,Myntra,Levi's Men's Cotton T-Shirt,3,Satisfied with the fabric quality.,5,1,0.05,132,36
LV_0042,Myntra,Levi's Men's Cotton T-Shirt,4,"Very satisfied with this purchase, the fabric remains soft after many washes.",12,1,0.1,29,19
LV_0043,Flipkart,Levi's Men's Cotton T-Shirt,5,Nice nice nice nice,4,0,0.64,5,2
LV_0044,Myntra,Levi's Men's Cotton T-Shirt,5,Comfortable for regular use.,4,1,0.25,34,34
LV_0045,Myntra,Levi's Men's Cotton T-Shirt,4,Amazing tshirt best best best,5,0,0.73,1,1
LV_0046,Flipkart,Levi's Men's Cotton T-Shirt,4,Amazing tshirt best best best,5,0,0.73,4,1
LV_0047,Myntra,Levi's Men's Cotton T-Shirt,5,Decent t-shirt for casual outings.,5,1,0.08,74,48
LV_0048,Myntra,Levi's Men's Cotton T-Shirt,4,"Very satisfied with this purchase, the fabric remains soft after many washes.",12,1,0.23,152,47
LV_0049,Amazon,Levi's Men's Cotton T-Shirt,3,The stitching and material quality are impressive for daily wear.,10,1,0.26,154,7
LV_0050,Myntra,Levi's Men's Cotton T-Shirt,4,Excellent cotton t-shirt from Levi's with premium fabric and perfect fit.,11,1,0.23,145,23
