review_id,platform,product_name,rating,review_text,review_length,verified_purchase,duplicate_phrase_score,reviewer_history,review_post_gap
PR_0001,Reliance Digital,Prestige Induction Cooktop 1200W,4,Very nice induction must buy,5,0,0.65,3,0
PR_0002,Amazon,Prestige Induction Cooktop 1200W,5,Nice nice nice nice,4,0,0.79,4,2
PR_0003,Amazon,Prestige Induction Cooktop 1200W,5,Original Prestige product with good safety features and reliable performance.,10,1,0.3,181,7
PR_0004,Reliance Digital,Prestige Induction Cooktop 1200W,5,Very nice induction must buy,5,0,0.78,1,2
PR_0005,Reliance Digital,Prestige Induction Cooktop 1200W,4,Very nice induction must buy,5,0,0.63,4,0
PR_0006,Amazon,Prestige Induction Cooktop 1200W,4,Heats fast and is energy efficient.,6,1,0.1,22,11
PR_0007,Reliance Digital,Prestige Induction Cooktop 1200W,3,Satisfied with the performance.,4,1,0.06,139,16
PR_0008,Reliance Digital,Prestige Induction Cooktop 1200W,3,Good product and easy to use.,6,1,0.13,97,45
PR_0009,Amazon,Prestige Induction Cooktop 1200W,5,Highly recommended induction cooktop for regular household cooking.,8,1,0.18,47,30
PR_0010,Reliance Digital,Prestige Induction Cooktop 1200W,4,Awesome awesome awesome,3,0,0.7,3,0
PR_0011,Amazon,Prestige Induction Cooktop 1200W,5,Original Prestige product with good safety features and reliable performance.,10,1,0.15,143,21
PR_0012,Amazon,Prestige Induction Cooktop 1200W,4,Very nice induction must buy,5,0,0.74,4,1
PR_0013,Amazon,Prestige Induction Cooktop 1200W,5,Very nice induction must buy,5,0,0.88,3,1
PR_0014,Amazon,Prestige Induction Cooktop 1200W,4,The induction cooktop works well for daily cooking.,8,1,0.01,190,17
PR_0015,Reliance Digital,Prestige Induction Cooktop 1200W,5,Heats fast and is energy efficient.,6,1,0.28,123,22
PR_0016,Reliance Digital,Prestige Induction Cooktop 1200W,5,Very nice induction must buy,5,0,0.66,2,2
PR_0017,Amazon,Prestige Induction Cooktop 1200W,3,Decent quality cooktop for the price.,6,1,0,32,40
PR_0018,Reliance Digital,Prestige Induction Cooktop 1200W,5,Very nice induction must buy,5,0,0.82,4,0
