review_id,platform,product_name,rating,review_text,review_length,verified_purchase,duplicate_phrase_score,reviewer_history,review_post_gap
SG_0001,Flipkart,SG English Willow Cricket Bat,5,Nice nice nice nice,4,0,0.82,4,0
SG_0002,Snapdeal,SG English Willow Cricket Bat,5,Nice balance and decent quality for the price.,8,1,0.24,13,28
SG_0003,Snapdeal,SG English Willow Cricket Bat,5,Good bat good bat,4,0,0.92,1,1
SG_0004,Amazon,SG English Willow Cricket Bat,5,Super super quality very very nice,6,0,0.79,1,2
SG_0005,Amazon,SG English Willow Cricket Bat,4,Very nice bat must buy,5,0,0.64,1,1
SG_0006,Amazon,SG English Willow Cricket Bat,3,Nice balance and decent quality for the price.,8,1,0.06,19,35
SG_0007,Amazon,SG English Willow Cricket Bat,5,Excellent quality English willow bat. The grains are visible and the bat performs very well with leather ball.,18,1,0.2,178,53
SG_0008,Flipkart,SG English Willow Cricket Bat,5,Excellent bat highly recommend,4,0,0.8,4,0
SG_0009,Amazon,SG English Willow Cricket Bat,4,Used this bat in club-level matches and it performs consistently. Grip quality and balance are impressive.,16,1,0.09,125,37
SG_0010,Snapdeal,SG English Willow Cricket Bat,5,Used this bat in club-level matches and it performs consistently. Grip quality and balance are impressive.,16,1,0.08,33,15
SG_0011,Amazon,SG English Willow Cricket Bat,5,Very nice bat must buy,5,0,0.79,5,0
SG_0012,Flipkart,SG English Willow Cricket Bat,5,Awesome awesome awesome,3,0,0.82,3,1
SG_0013,Flipkart,SG English Willow Cricket Bat,5,Very nice bat must buy,5,0,0.92,2,1
SG_0014,Flipkart,SG English Willow Cricket Bat,4,Satisfied with the bat quality.,5,1,0.16,178,20
SG_0015,Snapdeal,SG English Willow Cricket Bat,5,Original SG bat with good willow quality. Highly recommended for intermediate players.,12,1,0,98,36
SG_0016,Snapdeal,SG English Willow Cricket Bat,4,Nice balance and decent quality for the price.,8,1,0.05,27,33
SG_0017,Amazon,SG English Willow Cricket Bat,5,Best cricket bat ever buy now,6,0,0.62,3,2
SG_0018,Flipkart,SG English Willow Cricket Bat,3,Nice balance and decent quality for the price.,8,1,0.12,96,46
SG_0019,Snapdeal,SG English Willow Cricket Bat,5,Used this bat in club-level matches and it performs consistently. Grip quality and balance are impressive.,16,1,0.01,45,46
SG_0020,Snapdeal,SG English Willow Cricket Bat,5,Good bat good bat,4,0,0.91,3,0
SG_0021,Amazon,SG English Willow Cricket Bat,5,Overall a good purchase for casual players.,7,1,0.14,45,39
SG_0022,Amazon,SG English Willow Cricket Bat,4,Amazing bat best best best,5,0,0.73,2,2
SG_0023,Snapdeal,SG English Willow Cricket Bat,4,Satisfied with the bat quality.,5,1,0.07,159,31
SG_0024,Flipkart,SG English Willow Cricket Bat,3,Excellent quality English willow bat. The grains are visible and the bat performs very well with leather ball.,18,1,0.04,34,30
SG_0025,Flipkart,SG English Willow Cricket Bat,5,Excellent bat highly recommend,4,0,0.88,1,0
SG_0026,Flipkart,SG English Willow Cricket Bat,3,Good bat for practice matches.,5,1,0.12,66,44
SG_0027,Amazon,SG English Willow Cricket Bat,4,Nice nice nice nice,4,0,0.67,5,0
SG_0028,Flipkart,SG English Willow Cricket Bat,5,Overall a good purchase for casual players.,7,1,0.02,155,16
SG_0029,Flipkart,SG English Willow Cricket Bat,5,Loved it loved it loved it,6,0,0.71,1,0
SG_0030,Amazon,SG English Willow Cricket Bat,5,Good bat for practice matches.,5,1,0.25,150,36
SG_0031,Amazon,SG English Willow Cricket Bat,5,The bat feels good and is suitable for beginners.,9,1,0.15,198,25
SG_0032,Amazon,SG English Willow Cricket Bat,4,Loved it loved it loved it,6,0,0.78,5,0
SG_0033,Amazon,SG English Willow Cricket Bat,3,Very satisfied with the purchase. The bat feels premium and provides good power and control.,15,1,0.02,178,31
SG_0034,Amazon,SG English Willow Cricket Bat,5,Satisfied with the bat quality.,5,1,0.24,124,37
SG_0035,Snapdeal,SG English Willow Cricket Bat,4,Satisfied with the bat quality.,5,1,0.13,142,37
SG_0036,Amazon,SG English Willow Cricket Bat,4,Amazing bat best best best,5,0,0.62,4,0
SG_0037,Snapdeal,SG English Willow Cricket Bat,3,Used this bat in club-level matches and it performs consistently. Grip quality and balance are impressive.,16,1,0.22,126,56
SG_0038,Snapdeal,SG English Willow Cricket Bat,3,Comfortable grip and decent performance.,5,1,0.07,177,10
SG_0039,Flipkart,SG English Willow Cricket Bat,5,Super super quality very very nice,6,0,0.85,2,1
SG_0040,Amazon,SG English Willow Cricket Bat,5,Comfortable grip and decent performance.,5,1,0.12,167,29
SG_0041,Amazon,SG English Willow Cricket Bat,4,Good bat good bat,4,0,0.71,4,2
SG_0042,Snapdeal,SG English Willow Cricket Bat,5,The bat feels good and is suitable for beginners.,9,1,0.16,168,29
SG_0043,Amazon,SG English Willow Cricket Bat,4,Excellent quality English willow bat. The grains are visible and the bat performs very well with leather ball.,18,1,0.21,62,48
SG_0044,Amazon,SG English Willow Cricket Bat,4,Satisfied with the bat quality.,5,1,0.06,30,6
SG_0045,Amazon,SG English Willow Cricket Bat,3,Excellent quality English willow bat. The grains are visible and the bat performs very well with leather ball.,18,1,0.27,139,17
SG_0046,Snapdeal,SG English Willow Cricket Bat,4,Excellent quality English willow bat. The grains are visible and the bat performs very well with leather ball.,18,1,0.28,129,30
SG_0047,Amazon,SG English Willow Cricket Bat,5,Good bat for practice matches.,5,1,0.2,180,29
SG_0048,Amazon,SG English Willow Cricket Bat,4,Good bat good bat,4,0,0.61,3,0
SG_0049,Flipkart,SG English Willow Cricket Bat,5,Comfortable grip and decent performance.,5,1,0.21,71,5
SG_0050,Flipkart,SG English Willow Cricket Bat,5,Best cricket bat ever buy now,6,0,0.67,3,0
SG_0051,Snapdeal,SG English Willow Cricket Bat,4,Nice nice nice nice,4,0,0.79,1,1
