review_id,platform,product_name,rating,review_text,review_length,verified_purchase,duplicate_phrase_score,reviewer_history,review_post_gap
R0001,Amazon,Nike Revolution 6 Running Shoes,5,"Good quality for the price, but delivery took a bit longer.",11,1,0.12,22,9
R0002,Amazon,Nike Revolution 6 Running Shoes,3,The shoes are comfortable and suitable for daily jogging.,9,1,0.27,64,7
R0003,Amazon,Nike Revolution 6 Running Shoes,5,"Good quality for the price, but delivery took a bit longer.",11,1,0.03,118,8
R0004,Amazon,Nike Revolution 6 Running Shoes,4,Original Nike product with premium build quality. Highly recommended for people who run or walk regularly.,16,1,0.28,157,42
R0005,Flipkart,Nike Revolution 6 Running Shoes,4,I have been using these shoes for daily running for over a month and they are extremely comfortable. The cushioning absorbs impact well and the fit is perfect.,28,1,0.17,44,23
R0006,Flipkart,Nike Revolution 6 Running Shoes,3,Decent running shoes for beginners.,5,1,0.09,184,16
R0007,Flipkart,Nike Revolution 6 Running Shoes,5,Decent running shoes for beginners.,5,1,0.21,154,8
R0008,Amazon,Nike Revolution 6 Running Shoes,5,Decent running shoes for beginners.,5,1,0.13,90,34
R0009,Amazon,Nike Revolution 6 Running Shoes,3,"Good quality for the price, but delivery took a bit longer.",11,1,0.24,188,54
R0010,Myntra,Nike Revolution 6 Running Shoes,4,Decent running shoes for beginners.,5,1,0.15,97,51
R0011,Flipkart,Nike Revolution 6 Running Shoes,4,The shoes are comfortable and suitable for daily jogging.,9,1,0.04,117,15
R0012,Myntra,Nike Revolution 6 Running Shoes,5,"Used these shoes for gym and outdoor running. Grip is good, no slipping issues, and feet don’t feel tired even after long use.",23,1,0.01,181,9
R0013,Amazon,Nike Revolution 6 Running Shoes,4,"Nice fit and lightweight, works well for morning walks.",9,1,0.18,158,56
R0014,Myntra,Nike Revolution 6 Running Shoes,3,Very satisfied with the quality. The shoes provide great comfort during workouts and look stylish as well. Worth the money.,20,1,0.14,180,9
R0015,Myntra,Nike Revolution 6 Running Shoes,4,The sole grip is good and material feels durable.,9,1,0.25,82,50
R0016,Amazon,Nike Revolution 6 Running Shoes,5,Excellent product highly recommend,4,0,0.72,5,0
R0017,Amazon,Nike Revolution 6 Running Shoes,5,Best shoes ever buy now,5,0,0.65,2,1
R0018,Myntra,Nike Revolution 6 Running Shoes,5,Excellent product highly recommend,4,0,0.74,3,0
R0019,Amazon,Nike Revolution 6 Running Shoes,3,Very satisfied with the quality. The shoes provide great comfort during workouts and look stylish as well. Worth the money.,20,1,0.2,107,19
R0020,Myntra,Nike Revolution 6 Running Shoes,4,Good product good product,4,0,0.83,1,1
R0021,Flipkart,Nike Revolution 6 Running Shoes,5,Awesome awesome awesome,3,0,0.75,3,2
R0022,Amazon,Nike Revolution 6 Running Shoes,5,Decent running shoes for beginners.,5,1,0.29,177,48
R0023,Amazon,Nike Revolution 6 Running Shoes,5,Overall satisfied with the purchase.,5,1,0.23,184,56
R0024,Flipkart,Nike Revolution 6 Running Shoes,3,"Comfortable shoes, but cushioning could be slightly better.",8,1,0.03,172,30
R0025,Amazon,Nike Revolution 6 Running Shoes,4,Good product good product,4,0,0.75,1,1
R0026,Amazon,Nike Revolution 6 Running Shoes,4,Awesome awesome awesome,3,0,0.79,3,2
R0027,Myntra,Nike Revolution 6 Running Shoes,4,Original Nike product with premium build quality. Highly recommended for people who run or walk regularly.,16,1,0.11,172,21
R0028,Myntra,Nike Revolution 6 Running Shoes,4,The shoes are comfortable and suitable for daily jogging.,9,1,0.25,129,35
R0029,Amazon,Nike Revolution 6 Running Shoes,4,Very nice shoes must buy,5,0,0.86,3,1
R0030,Amazon,Nike Revolution 6 Running Shoes,5,Worth it worth it worth it,6,0,0.73,5,0
R0031,Myntra,Nike Revolution 6 Running Shoes,3,"Nice fit and lightweight, works well for morning walks.",9,1,0.16,52,27
R0032,Amazon,Nike Revolution 6 Running Shoes,3,Decent running shoes for beginners.,5,1,0.24,59,56
R0033,Amazon,Nike Revolution 6 Running Shoes,5,"Excellent running shoes from Nike. Lightweight, breathable material and good arch support. Suitable for long runs and walking.",18,1,0.06,136,27
R0034,Myntra,Nike Revolution 6 Running Shoes,5,Very satisfied with the quality. The shoes provide great comfort during workouts and look stylish as well. Worth the money.,20,1,0.14,59,49
R0035,Amazon,Nike Revolution 6 Running Shoes,3,The sole grip is good and material feels durable.,9,1,0.3,103,10
R0036,Amazon,Nike Revolution 6 Running Shoes,4,Good product good product,4,0,0.72,4,2
R0037,Amazon,Nike Revolution 6 Running Shoes,5,Very satisfied with the quality. The shoes provide great comfort during workouts and look stylish as well. Worth the money.,20,1,0.24,31,58
R0038,Myntra,Nike Revolution 6 Running Shoes,5,"Excellent running shoes from Nike. Lightweight, breathable material and good arch support. Suitable for long runs and walking.",18,1,0.14,55,32
R0039,Flipkart,Nike Revolution 6 Running Shoes,4,Nice nice nice nice,4,0,0.76,1,2
R0040,Flipkart,Nike Revolution 6 Running Shoes,5,I have been using these shoes for daily running for over a month and they are extremely comfortable. The cushioning absorbs impact well and the fit is perfect.,28,1,0.05,129,56
R0041,Flipkart,Nike Revolution 6 Running Shoes,3,Decent running shoes for beginners.,5,1,0.29,178,27
R0042,Flipkart,Nike Revolution 6 Running Shoes,4,Very nice shoes must buy,5,0,0.78,2,1
R0043,Myntra,Nike Revolution 6 Running Shoes,5,Good product good product,4,0,0.7,2,2
R0044,Amazon,Nike Revolution 6 Running Shoes,4,Overall satisfied with the purchase.,5,1,0.04,199,27
