review_id,platform,product_name,rating,review_text,review_length,verified_purchase,duplicate_phrase_score,reviewer_history,review_post_gap
I14_0001,Croma,Apple iPhone 14 128GB,5,Worth it worth it worth it,6,0,0.93,3,2
I14_0002,Croma,Apple iPhone 14 128GB,4,Using this phone for work and personal use. Face ID works flawlessly and the camera stabilization is very good.,19,1,0.09,185,60
I14_0003,Croma,Apple iPhone 14 128GB,4,I have been using the iPhone 14 for a few weeks and the performance is excellent. The camera quality is outstanding and battery life easily lasts a day.,28,1,0.08,90,27
I14_0004,Croma,Apple iPhone 14 128GB,5,Original Apple product with premium quality. Highly recommended for users looking for long-term performance and reliability.,16,1,0.04,151,47
I14_0005,Croma,Apple iPhone 14 128GB,4,Very nice mobile must buy,5,0,0.64,3,0
I14_0006,Croma,Apple iPhone 14 128GB,4,Nice nice nice nice,4,0,0.74,4,2
I14_0007,Croma,Apple iPhone 14 128GB,3,Satisfied with the performance and build quality.,7,1,0.19,56,60
I14_0008,Croma,Apple iPhone 14 128GB,4,Battery life is decent and works well for daily use.,10,1,0.08,169,18
I14_0009,Croma,Apple iPhone 14 128GB,4,The phone performance is smooth and camera quality is good.,10,1,0.04,32,22
I14_0010,Croma,Apple iPhone 14 128GB,4,Nice nice nice nice,4,0,0.64,5,2
I14_0011,Croma,Apple iPhone 14 128GB,4,Satisfied with the performance and build quality.,7,1,0.05,108,34
I14_0012,Croma,Apple iPhone 14 128GB,4,Nice design and display quality.,5,1,0.18,34,21
I14_0013,Croma,Apple iPhone 14 128GB,4,Loved it loved it loved it,6,0,0.93,1,2
I14_0014,Croma,Apple iPhone 14 128GB,4,Original Apple product with premium quality. Highly recommended for users looking for long-term performance and reliability.,16,1,0.13,190,30
I14_0015,Croma,Apple iPhone 14 128GB,4,iOS experience is smooth and reliable.,6,1,0.11,130,21
I14_0016,Croma,Apple iPhone 14 128GB,4,The phone performance is smooth and camera quality is good.,10,1,0.19,130,56
I14_0017,Croma,Apple iPhone 14 128GB,5,The phone performance is smooth and camera quality is good.,10,1,0.06,16,5
I14_0018,Flipkart,Apple iPhone 14 128GB,3,Camera works well in daylight conditions.,6,1,0.11,74,12
I14_0019,Flipkart,Apple iPhone 14 128GB,3,I have been using the iPhone 14 for a few weeks and the performance is excellent. The camera quality is outstanding and battery life easily lasts a day.,28,1,0.07,138,21
I14_0020,Flipkart,Apple iPhone 14 128GB,4,Super super quality very very nice,6,0,0.7,3,0
I14_0021,Croma,Apple iPhone 14 128GB,5,Nice design and display quality.,5,1,0.07,109,39
I14_0022,Croma,Apple iPhone 14 128GB,4,iOS experience is smooth and reliable.,6,1,0.01,174,32
I14_0023,Flipkart,Apple iPhone 14 128GB,4,Very nice mobile must buy,5,0,0.65,1,2
I14_0024,Croma,Apple iPhone 14 128GB,4,Excellent phone highly recommend,4,0,0.64,4,0
I14_0025,Croma,Apple iPhone 14 128GB,3,Original Apple product with premium quality. Highly recommended for users looking for long-term performance and reliability.,16,1,0.13,42,33
I14_0026,Croma,Apple iPhone 14 128GB,5,Awesome awesome awesome,3,0,0.65,2,2
I14_0027,Croma,Apple iPhone 14 128GB,3,Nice design and display quality.,5,1,0.08,130,25
I14_0028,Croma,Apple iPhone 14 128GB,4,Worth it worth it worth it,6,0,0.89,1,1
I14_0029,Flipkart,Apple iPhone 14 128GB,3,"Excellent smartphone from Apple. The display is sharp, performance is smooth, and the camera takes very clear photos and videos.",20,1,0.02,183,24
I14_0030,Croma,Apple iPhone 14 128GB,4,Original Apple product with premium quality. Highly recommended for users looking for long-term performance and reliability.,16,1,0.04,125,34
I14_0031,Flipkart,Apple iPhone 14 128GB,4,Best iPhone ever buy now,5,0,0.69,5,2
I14_0032,Croma,Apple iPhone 14 128GB,3,I have been using the iPhone 14 for a few weeks and the performance is excellent. The camera quality is outstanding and battery life easily lasts a day.,28,1,0.28,38,59
I14_0033,Flipkart,Apple iPhone 14 128GB,4,Good phone but slightly expensive.,5,1,0.1,95,6
I14_0034,Croma,Apple iPhone 14 128GB,5,Loved it loved it loved it,6,0,0.88,3,0
I14_0035,Croma,Apple iPhone 14 128GB,4,I have been using the iPhone 14 for a few weeks and the performance is excellent. The camera quality is outstanding and battery life easily lasts a day.,28,1,0.3,97,41
I14_0036,Flipkart,Apple iPhone 14 128GB,5,Nice nice nice nice,4,0,0.94,1,1
I14_0037,Flipkart,Apple iPhone 14 128GB,3,iOS experience is smooth and reliable.,6,1,0.29,66,57
I14_0038,Croma,Apple iPhone 14 128GB,4,Very nice mobile must buy,5,0,0.69,1,1
I14_0039,Croma,Apple iPhone 14 128GB,4,Loved it loved it loved it,6,0,0.83,4,1
I14_0040,Flipkart,Apple iPhone 14 128GB,4,Satisfied with the performance and build quality.,7,1,0.22,193,28
I14_0041,Croma,Apple iPhone 14 128GB,5,iOS experience is smooth and reliable.,6,1,0.11,65,53
I14_0042,Croma,Apple iPhone 14 128GB,3,iOS experience is smooth and reliable.,6,1,0.25,89,8
I14_0043,Flipkart,Apple iPhone 14 128GB,4,Best iPhone ever buy now,5,0,0.77,3,2
I14_0044,Croma,Apple iPhone 14 128GB,5,Amazing phone best best best,5,0,0.84,4,1
I14_0045,Croma,Apple iPhone 14 128GB,5,Satisfied with the performance and build quality.,7,1,0.05,16,18
I14_0046,Croma,Apple iPhone 14 128GB,4,Original Apple product with premium quality. Highly recommended for users looking for long-term performance and reliability.,16,1,0.07,89,59
I14_0047,Croma,Apple iPhone 14 128GB,5,Very satisfied with this purchase. Build quality feels premium and iOS experience is seamless. Worth the price.,17,1,0.05,73,59
I14_0048,Croma,Apple iPhone 14 128GB,3,iOS experience is smooth and reliable.,6,1,0.3,120,12
I14_0049,Croma,Apple iPhone 14 128GB,3,Good phone but slightly expensive.,5,1,0.05,60,56
I14_0050,Croma,Apple iPhone 14 128GB,5,Satisfied with the performance and build quality.,7,1,0.07,109,23
I14_0051,Croma,Apple iPhone 14 128GB,4,Very nice mobile must buy,5,0,0.75,5,0
I14_0052,Croma,Apple iPhone 14 128GB,3,Battery life is decent and works well for daily use.,10,1,0.16,160,29
I14_0053,Flipkart,Apple iPhone 14 128GB,4,Excellent phone highly recommend,4,0,0.89,1,2
I14_0054,Croma,Apple iPhone 14 128GB,5,Very nice mobile must buy,5,0,0.65,5,1
